"","City","State","MeanAnnual.Temperature","MeanAnnualPrecipitation","NetPrimaryProductivity","Elevation","Residence","NumberBedroooms"
"289","Upland","CA",11.98409786,47.55840979,1.13715173,1048.727539,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"290","zimmerman","MN",6.371941896,58.17278287,0.958093579,297.0386047,"One-family house detached from any other house","3"
"292","Seattle","WA",11.1014526,79.94380734,2.608986975,84.25081635,"One-family house detached from any other house","3"
"293","Pleasant Prairie","WI",8.315978593,68.23753823,NA,189.9030609,"One-family house detached from any other house","3"
"294","Washington","DC",14.01888379,87.26605505,1.81817838,64.78483582,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","1"
"295","Carrboro","NC",14.88906728,97.33899083,1.698932469,136.7336121,"One-family house detached from any other house","1"
"296","Sandia Park","NM",9.141131498,30.73425076,0.532404604,1968.953003,"One-family house detached from any other house","2"
"298","Indianapolis","IN",11.55114679,84.20955657,0.90433828,247.0333405,"One-family house detached from any other house","2"
"299","Gainesville","FL",20.72599388,115.0859327,3.247236528,36.76833344,"One-family house detached from any other house","3"
"300","Bayfield","CO",6.191207951,37.35443425,0.816323447,2301.657959,"One-family house detached from any other house","3"
"302","Des Moines","NM",9.773776758,30.99373089,0.40956239,1912.366943,"A mobile home","2"
"303","Silver Spring","MD",14.01888379,87.26605505,1.81817838,64.78483582,"High rise apartment (multiple units, with 5 or more stories)","2"
"305","Champaign","IL",10.87507645,78.84464832,0.858911267,223.2963867,"One-family house detached from any other house","2"
"306","Salina","KS",13.16643731,57.76880734,0.715248335,423.534729,"One-family house detached from any other house","4"
"307","Cary","NC",15.40512232,94.05412844,1.698932469,96.75722504,"One-family house detached from any other house","4"
"308","Berkeley","CA",14.09617737,41.10183486,1.87041945,115.6696014,"One-family house detached from any other house","5"
"309","Winter Haven","FL",22.28088685,107.5657492,1.838809815,36.41972351,"One-family house detached from any other house","2"
"311","Chapel Hill","NC",14.88906728,97.33899083,1.698932469,136.7336121,"One-family house attached to one or more houses (e.g. a townhouse or condominium)","1"
"312","Wurtsboro","NY",7.817431193,97.52515291,2.10815415,468.2627869,"One-family house detached from any other house","4"
"313","Amherst","MA",8.512844037,94.40588685,2.191815567,198.4830627,"One-family house detached from any other house","3"
"314","Zephyrhills","FL",22.15588685,112.4344801,2.482169895,25.95861053,"Boat, RV, van, etc","1"
"316","Winston-Salem","NC",14.2883792,90.05229358,2.060455779,275.8555603,"One-family house detached from any other house","2"
"317","Rocky Mount","VA",13.91704893,92.70107034,1.962976988,270.4238892,"One-family house detached from any other house","3"
"318","Oak Hill","WV",11.37408257,89.55107034,2.322796796,670.7394409,"One-family house detached from any other house","4"
"319","chapel hill","NC",14.88906728,97.33899083,1.698932469,136.7336121,"One-family house detached from any other house","3"
"320","Bonham","TX",17.49556575,85.98761468,1.026612659,183.4102783,"One-family house detached from any other house","1"
"321","ROCHESTER","NY",8.791284404,65.05298165,NA,122.9883347,"One-family house detached from any other house","4"
"322","Bryan","TX",20.41727829,82.12798165,1.167814963,93.21138763,"One-family house detached from any other house","3"
"323","Durham","NC",14.54518349,92.76712538,1.698932469,137.7061157,"One-family house detached from any other house","3"
"325","New Orleans","LA",20.60412844,127.4941131,2.336803457,1.143264055,"Duplex or two-family house (designed for two families)","2"
"326","Weston","MA",9.388990826,94.63203364,1.966573293,52.88596344,"One-family house detached from any other house","4"
"327","Katy","TX",20.75198777,86.00351682,1.898432769,34.68111038,"One-family house detached from any other house","4"
"328","Brooklyn ","NY",11.15,97.4837156,2.213204125,60.80302048,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"329","San Francisco,","CA",14.09617737,41.10183486,1.87041945,115.6696014,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"330","Los Angeles","CA",13.37056575,39.35022936,1.220434586,619.3668823,"One-family house detached from any other house","3"
"331","Baraboo","WI",7.131957187,66.57591743,1.096645971,294.9661255,"One-family house detached from any other house","3"
"332","Boston","MA",9.388990826,94.63203364,NA,52.88596344,"Boat, RV, van, etc","1"
"333","Minneapolis","MN",7.233333333,59.23409786,0.919291337,284.1616516,"One-family house detached from any other house","3"
"334","new york","NY",11.81796636,92.61200306,2.213204125,23.8580265,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"335","TIMBERVILLE","VA",11.79862385,79.49663609,1.97944428,472.2047119,"One-family house detached from any other house","3"
"336","Ames","IA",8.909785933,65.98272171,0.89222441,329.9030457,"One-family house detached from any other house","2"
"337","Beloit","WI",7.872094801,67.19847095,1.058033012,274.6097107,"One-family house detached from any other house","4"
"338","Livermore","CA",13.85175841,44.68448012,1.317724109,247.8677826,"One-family house detached from any other house","4"
"339","Erie","PA",9.101911315,78.14487768,NA,188.9750061,"One-family house detached from any other house","3"
"340","Anaheim","CA",16.28264526,34.18035168,1.13715173,232.911026,"One-family house detached from any other house","4"
"341","Willimantic","CT",9.280504587,102.9594801,2.031117504,150.3586121,"One-family house detached from any other house","3"
"342","Foster City","CA",14.09617737,41.10183486,2.266391583,115.6696014,"One-family house detached from any other house","4"
"343","Seattle","WA",11.1014526,79.94380734,2.186705014,84.25081635,"Low rise apartment (multiple units, with 4 or fewer stories)","2"
"344","Tacoma","WA",11.17285933,85.4941896,2.186705014,144.7330322,"One-family house detached from any other house","3"
"345","Naples","FL",23.8838685,109.0504587,2.157934589,3.304095984,"One-family house detached from any other house","3"
"346","Ann Arbor","MI",9.459633028,65.69365443,1.064468505,253.6655579,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"348","El Paso","TX",17.76001529,15.66261468,0.250946397,1230.810791,"One-family house detached from any other house","3"
"349","Lafayette","LA",20.15053517,130.1804281,1.507949731,8.52305603,"Low rise apartment (multiple units, with 4 or fewer stories)","1"
"350","Tacoma","WA",11.17285933,85.4941896,2.186705014,144.7330322,"One-family house detached from any other house","4"
"351","New York","NY",11.81796636,92.61200306,2.213204125,23.8580265,"High rise apartment (multiple units, with 5 or more stories)","2"
"353","chino valley","AZ",14.70405199,31.05535168,0.927430349,1504.068359,"One-family house detached from any other house","2"
"355","Oak Ridge","TN",13.31544343,112.3767584,2.435796488,463.2702637,"One-family house detached from any other house","3"
"357","Columbia","MO",12.78172783,79.97920489,1.027937615,221.4455566,"Duplex or two-family house (designed for two families)","3"
"358","Severna Park","MD",12.43012232,89.19495413,1.377914896,92.84095764,"One-family house detached from any other house","5"
"360","Tualatin","OR",11.17729358,90.90749235,1.927392495,96.17082977,"One-family house detached from any other house","3"
"363","Franklinton","NC",14.41911315,95.66896024,2.156420352,100.1513901,"One-family house detached from any other house","2"
"364","Sneads ferry","NC",17.02928135,113.0198777,2.588734101,9.240040779,"One-family house detached from any other house","3"
"366","Reedsburg","WI",7.018501529,64.64464832,1.096645971,317.8644409,"Duplex or two-family house (designed for two families)","2"
